Id,SalePrice
2658,121076.38264929928
2718,152453.38790438397
2414,212839.07792694477
1989,109505.36674063813
625,174206.74290444396
333,88754.55239489237
1327,110566.4707856691
858,155313.3338364637
95,179455.95526333537
1568,160433.02114465283
2482,150351.50882248726
1364,125642.75003861505
2584,138630.9501008654
818,255966.7698378772
2673,147965.9816801502
2089,133403.735519831
1297,162319.13936083735
790,117741.66073423662
2616,181520.76554761318
720,185743.6364744418
222,152249.63415716216
557,134314.68286822096
1148,187054.23334491425
2766,178444.35859999305
534,172913.1928030959
1452,121635.40560575693
630,128329.41224425417
2648,114074.19648292434
125,161743.76057473427
1904,71726.0880612224
1670,113101.4967583396
756,96923.47949611422
717,183204.13588954712
1032,155882.20592277157
852,208549.80852553333
1731,176611.82923622621
2639,120501.308184375
2071,109344.99040717728
1267,129747.8294120153
1851,195776.84667333667
567,161715.44517094333
2439,200189.17598411685
1898,147195.2151129436
647,164306.6433620811
2256,211675.93590256013
979,95947.38372237454
1444,217383.10990017833
2485,123597.09979718484
157,135198.6329472326
88,124713.02427828754
2003,107700.8723691683
186,202269.83225848782
1425,229014.34193283587
2695,129455.1207875392
738,109111.40997624745
395,148926.1220642214
1353,164060.83361806293
1878,138182.6065254494
390,162657.92411348203
1456,228837.34340410808
1103,310584.2692626711
1387,123713.63610466884
2070,141690.56781676543
1199,172641.48456874955
2479,172092.69062413587
501,306310.82232371566
2362,96310.86710886582
1718,197345.8276426518
2188,95560.23848293319
1483,159210.14163384863
2557,99030.66773673192
437,334354.7525276501
2224,209623.65281828272
1628,159377.4763322484
397,143060.30320011507
587,187944.86532115442
971,145638.1415194752
2611,142754.42753416285
1887,107527.72007255728
2399,344583.60312363826
2148,193244.19564327435
304,113206.86082468553
1997,129428.90134588763
2817,119106.69235016599
1431,209024.24858162238
427,301154.66947371874
263,126518.25068268878
598,174430.48350455478
2895,241648.35251124302
687,126892.79404776733
1822,134556.7693370051
2191,115441.88872725805
179,128031.02346081083
1009,207671.35469965579
2010,136515.89626930465
1991,131717.63932576834
1411,184152.83332200468
1721,230272.46314964496
1144,191634.49902529968
593,221329.8889453356
575,302738.1547530468
1249,174715.35230377066
1604,125322.22841022335
1064,442847.50197555614
1923,154657.32822818123
1988,110548.02802234172
2325,169713.9360108963
114,199835.6211714068
2700,168637.3544568123
217,139345.18996590562
343,174090.31060775614
386,235033.25992284424
2005,125572.57214560031
2908,144765.57416233578
1814,229544.44808652636
2446,440744.3696121241
208,120803.30814480697
1679,118913.07897204396
822,308934.1024055324
6,195764.5399382832
1781,364959.11818534543
2397,277808.4866341932
2340,297933.65416918055
1618,173709.3473189958
2843,146683.8084269273
1061,355218.28970811306
2786,127816.20438071285
1935,139248.83520051168
1341,120183.76881930587
521,273169.95945185906
2136,135943.44528668077
996,209720.73156345353
227,157440.31972091983
135,185233.79542519967
1167,162701.68763995665
294,226888.3438056819
1776,202762.13799706567
540,165145.4123616442
1717,200357.2405446479
2303,131278.53320166658
116,180209.75812000062
127,140878.63996969166
1371,131274.69451846764
1014,156597.28729609028
1507,108405.4872089762
702,117519.8629688214
750,144676.92122961133
261,153721.407622231
1559,84396.67638960155
577,209123.9160490481
2812,194522.5872706109
2080,151344.29061991198
1368,111673.97754172
2376,121488.12400778366
659,107089.64284391743
1235,142191.4702194918
332,75398.92044627808
1917,144204.390447728
2094,243587.05910272722
1460,252612.7676204429
1471,217443.18192978625
1509,122700.62698079934
1922,136846.76358001246
433,418813.0453012116
460,258834.07002806812
1116,238756.8939206875
1137,167056.58023545967
53,168594.5448857942
2354,261562.8409339678
1475,192194.7422609559
1761,493476.50549812807
842,147908.24595149225
2739,180942.3564828486
2509,146583.03384770756
1007,198841.16923966815
2610,179258.97492301103
1952,86379.27448196209
2719,152892.81731132584
2921,73593.52305067958
1966,151440.08059208866
292,126336.53518057844
1204,187068.9010628986
1829,253256.0002541141
2419,185207.67378430412
391,147285.03068061516
798,96598.53409246338
481,201474.68764916953
193,197982.47653078727
555,115586.88085449627
899,38560.98248366185
2357,186409.01361660947
328,132615.89345457288
1356,118142.5787018578
1154,107459.9346280878
1730,181365.65263081805
2249,162896.43377510252
1119,273950.39715438336
2856,152540.58072937562
1394,129547.65054176864
2587,112957.6920950942
61,304560.8714240502
2661,171311.05184881893
2711,131982.72080837912
1147,183994.00965797462
757,124304.889158029
2623,122150.45495665632
2378,138605.85080850509
1413,142480.605944163
1722,223587.96361761715
1112,222444.72647213886
1623,195197.01599023212
1201,200147.15181534196
1513,124338.65059999662
957,361666.9700136226
1171,272285.5698180922
1145,193987.0227102711
2726,227204.9563346431
703,140673.45877411665
760,95516.4175221673
1964,158361.64931918532
2512,172028.64952825176
159,131645.71225755184
1281,164296.08327457518
468,187367.94159148124
290,122771.9270852825
665,102235.47977836711
1463,245820.89196642747
1792,218945.1588722784
923,161017.10408842814
500,260346.91101667268
1408,187054.7341965043
331,90419.68497195294
170,124539.55541559482
2192,97806.13834970887
2571,283441.5651359838
2314,171900.47428320046
2647,88460.9326343251
422,381987.51050642744
2457,327199.9834724001
1838,204153.87166931946
2805,255912.9967573335
1645,154179.4450079196
1711,282916.25467815873
2825,235820.77776781406
322,310687.71227101394
2103,238700.51792645347
342,112496.2577578621
600,138810.20364500038
488,183487.80477368823
1725,291209.29670731246
2246,284240.18371538905
2847,158067.41476317475
806,236925.5744600047
530,232828.55070675627
963,193915.31178896653
2678,106843.77094254
171,90289.54680192143
2401,380084.59801860456
805,222600.00092632297
2259,221933.02366662517
1748,183530.4793480803
1361,135158.7856678345
1677,109377.4645047555
1406,151896.61858067615
2322,245745.3117874534
688,151421.25919039123
143,141160.84584685793
804,203621.57969750633
1214,180349.60712410713
2828,141940.0936014791
1999,178514.16418704065
2467,206548.4736085962
2665,151151.04276440907
1538,315157.9838426573
398,125814.15859366138
2822,138725.02399975245
2157,143465.52225252532
1856,193784.9414982808
1269,100597.9724359699
2570,116124.25379324274
2320,227136.51319021342
1517,134193.38200650667
2304,134781.8065960444
1312,99777.95585177118
2012,139570.45495991566
506,243035.1251350787
2865,208626.38579444634
2367,94721.63477194203
554,70289.14992123727
238,136880.69716113317
1954,116605.69950971662
2488,123947.4880577841
2291,60975.753877778174
1969,122213.26323399378
2725,168568.34053154418
1482,150933.45766227797
2763,194351.04647791147
503,261265.98621605628
1584,247157.62344970665
1531,138948.91651808415
2210,164881.67043514366
459,309985.2495053748
556,127451.50964755565
1347,137590.51120547325
1290,67171.90511819876
1388,90977.958009492
1571,285441.81105038733
2754,197778.36163911645
765,142479.2477057962
2494,126863.88928278218
2870,246717.92959552133
7,216184.00443675544
1114,247902.83589716064
2418,257118.0537657364
291,111010.69795669726
18,320936.8540664327
39,345492.3872896199
1001,243107.18892318703
2442,218572.47916241773
616,125530.11918021526
2680,88627.56846707813
1414,129308.84095154479
289,164515.95945298346
40,244190.99945184457
860,126932.49570235789
409,132732.8858020078
673,154371.72339995852
2427,180325.0626697962
2036,205990.87270260594
2564,148306.38839709622
642,147668.07510573178
1008,170078.70785239845
1908,131375.98701345728
2519,209130.84589153941
1369,99818.99685401305
2855,169206.85808221853
712,99218.116852505
1943,126372.48175294136
1958,119626.6181246517
107,169641.51919895576
2295,187805.62525577337
704,102306.29574927573
676,158343.854451135
259,183458.84864055715
93,283573.1546599682
106,247989.66274383484
2315,176932.42023474022
1050,103796.44574707422
1095,208151.9851439664
2709,152122.69395598347
758,130475.26378750452
1496,156779.49949781512
2370,121844.45742024409
2458,280170.9189726995
2733,141310.05607676177
161,222876.89666020978
726,144096.3660464028
845,204267.88724202762
947,244090.70560114906
2232,124093.49638823797
2563,146669.44174358223
2299,140065.76499664187
211,78367.91687887626
605,148776.91381023425
1478,198355.7325275502
2247,274539.49830034754
2274,222661.62589407968
2869,216963.6157057326
967,209365.256992516
2656,131146.45585629533
667,179548.43783179854
1042,106672.27143461473
2023,161562.33486822573
2447,362809.01403540693
2055,128628.79641389873
2275,273231.1969309866
2204,177172.5507980307
1563,278469.6473209681
483,203768.72158000365
796,136583.62471303644
1526,164345.53987962383
2042,129754.82906209145
442,323169.894537242
1693,300597.52314550674
1468,217460.12034488126
1430,204050.9183026955
2605,130123.88820212786
1529,205638.1450183205
335,145435.70447004866
1287,123213.54114498326
31,96986.7027721104
1785,291258.3931029991
82,163271.0442321393
2620,117159.92863055391
252,175930.32821585416
721,64609.02114319368
2165,180886.14443872953
2316,187897.57775432727
775,138518.6849243667
1558,128848.26977147552
17,225086.7349105647
1022,212057.8499112834
925,136176.40265003522
438,263063.4826601103
1270,141390.14054263826
1272,140328.58030336275
215,125697.3720720779
266,222856.02956631643
2402,278175.2092872402
1250,130282.08797437893
1984,122965.21705067741
1279,147087.45644647608
377,237881.76195828387
1252,116904.64503595719
2156,257507.56417010195
499,307142.0786306729
1374,138144.7223581807
2898,239308.3617822328
401,115612.9319816082
2721,148159.32022312944
2078,229370.11445475428
2589,128739.83962225718
1946,225550.57807438474
1334,121640.38755260133
2781,212192.54388586452
431,361110.55659911723
576,205343.82728895944
1474,207935.1745256981
2254,154214.5150977662
2155,281355.4199842487
885,113573.62391274679
643,140926.887819147
1944,128012.27053643722
480,190672.18613841105
2845,104667.73957016529
2387,297568.76846239925
