Id,SalePrice
2658,127718.6706853717
2718,152839.2427738183
2414,211759.31182872085
1989,109483.50198165292
625,173388.4137286161
333,90497.33378463569
1327,112339.89206740478
858,155713.25913516365
95,184937.62222667807
1568,164928.21704961796
2482,153538.42514158366
1364,121771.82389260852
2584,141222.33648726597
818,257278.22615134355
2673,153819.4294059919
2089,127062.21764208477
1297,161766.57920548454
790,116786.11126601127
2616,182446.44402471185
720,186483.21351757503
222,148423.84683704737
557,129785.73876393089
1148,191052.51996405344
2766,178475.4905033462
534,175229.60727109283
1452,122069.1801008422
630,131683.13791000488
2648,117424.6805272118
125,159733.53677645704
1904,68013.21708701765
1670,114768.54510578865
756,97507.26494144011
717,187743.90501810363
1032,160122.26336683377
852,207249.77015753702
1731,175817.5600361991
2639,125245.93158176038
2071,104028.63486898971
1267,129062.29608133098
1851,195282.92564424966
567,162910.13316972952
2439,201240.83251456835
1898,148731.65057776563
647,163409.55242502238
2256,211394.50372345737
979,95373.97599301675
1444,216965.08568234244
2485,122077.10544349023
157,134043.55093210054
88,126001.65501069571
2003,108380.65870322313
186,207360.4705143448
1425,230727.58385176974
2695,128635.8728776059
738,103785.67914381203
395,151249.78902315855
1353,165624.77417770735
1878,137057.3146248074
390,164007.54431736705
1456,228180.27676949883
1103,310412.881494847
1387,128314.77666268557
2070,143517.40141079508
1199,172859.42285224245
2479,172937.77104724193
501,302309.7428577753
2362,98069.20351712048
1718,198258.1230228407
2188,89762.43424750926
1483,160293.41436521805
2557,94183.2588087952
437,331653.6436850057
2224,208988.71468299357
1628,165755.0966893231
397,140746.6378281074
587,188477.9681470443
971,143492.73611347858
2611,143407.15409070216
1887,104250.61090241681
2399,343594.23922540527
2148,193855.80032802146
304,114393.30447206722
1997,131789.94497028674
2817,113529.27854599751
1431,204463.1880125118
427,302149.02808776405
263,126583.41498588343
598,172672.08686770187
2895,235704.451659336
687,131106.48071389223
1822,137388.3489142916
2191,110299.773778094
179,119951.13753447964
1009,205873.79918739526
2010,134913.6104800763
1991,131247.57767615395
1411,183159.54996701592
1721,231362.13821579068
1144,191663.89885539794
593,224691.9040006942
575,292995.1528792386
1249,173258.42012907667
1604,126083.93502752995
1064,432654.0588904803
1923,153819.69139277522
1988,110212.41773201487
2325,170415.2710357767
114,200522.40665661794
2700,171290.08862417418
217,138125.5917630142
343,173604.2371731563
386,236030.76500764253
2005,121521.75634997369
2908,143547.76901188286
1814,231644.88257144985
2446,443566.0148761289
208,122918.97689525865
1679,117483.13814409915
822,310252.8013821251
6,194715.04263642366
1781,362612.96435967844
2397,275190.74176428316
2340,295610.4407743527
1618,172939.26144297855
2843,148236.88829507105
1061,352545.3586940956
2786,127902.21438551942
1935,140737.90634135803
1341,117606.90407982707
521,272295.6284797379
2136,135961.01752843472
996,209326.07818740746
227,153982.99476746607
135,183225.50628305215
1167,163888.14410011983
294,227579.22079112567
1776,202369.06272658883
540,166483.3270716234
1717,201163.79888576939
2303,131940.07502851245
116,182720.76959425485
127,136518.64520735183
1371,128414.61477344827
1014,158530.42096856065
1507,101480.48024168171
702,124068.98018874342
750,142566.45311008825
261,153305.51202245685
1559,80395.19330101497
577,210668.5033613493
2812,196124.87706790256
2080,153173.03113943123
1368,104917.38029679254
2376,122248.77418127476
659,108182.49891643849
1235,140211.1910224362
332,75652.53415596457
1917,142527.06493579294
2094,241379.435513713
1460,254956.51284779617
1471,214325.99360945044
1509,121833.44458438386
1922,138277.569733473
433,422224.2632076087
460,262905.80778295646
1116,237955.03941532262
